TRADEDATE,close,ret,date_raw,key_rate,inflation,inflation_target
2019-04-25,2560.94,-0.0070219654523953,4.2019,7.75,5.2,4.0
2019-04-26,2563.72,0.0010855389036836,4.2019,7.75,5.2,4.0
2019-04-29,2569.83,0.0023832555817329,4.2019,7.75,5.2,4.0
2019-04-30,2559.32,-0.004089764692606,4.2019,7.75,5.2,4.0
2019-05-02,2575.22,0.0062125877186125,5.2019,7.75,5.1,4.0
2019-05-03,2580.95,0.0022250526168638,5.2019,7.75,5.1,4.0
2019-05-06,2579.75,-0.0004649450783625,5.2019,7.75,5.1,4.0
2019-05-07,2565.1,-0.0056788448493071,5.2019,7.75,5.1,4.0
2019-05-08,2544.43,-0.0080581653736696,5.2019,7.75,5.1,4.0
2019-05-10,2514.87,-0.0116175331999701,5.2019,7.75,5.1,4.0
2019-05-13,2508.87,-0.0023858092068377,5.2019,7.75,5.1,4.0
2019-05-14,2562.33,0.0213083978045893,5.2019,7.75,5.1,4.0
2019-05-15,2554.49,-0.0030597151811047,5.2019,7.75,5.1,4.0
2019-05-16,2581.11,0.0104208667874998,5.2019,7.75,5.1,4.0
2019-05-17,2577.48,-0.0014063716773016,5.2019,7.75,5.1,4.0
2019-05-20,2571.65,-0.0022618992193925,5.2019,7.75,5.1,4.0
2019-05-21,2616.53,0.0174518305368149,5.2019,7.75,5.1,4.0
2019-05-22,2638.71,0.0084768758623061,5.2019,7.75,5.1,4.0
2019-05-23,2618.61,-0.0076173584819855,5.2019,7.75,5.1,4.0
2019-05-24,2619.24,0.0002405856542209,5.2019,7.75,5.1,4.0
2019-05-27,2632.95,0.0052343427864571,5.2019,7.75,5.1,4.0
2019-05-28,2609.78,-0.0088000151920847,5.2019,7.75,5.1,4.0
2019-05-29,2641.15,0.0120201702825524,5.2019,7.75,5.1,4.0
2019-05-30,2659.52,0.0069553035609488,5.2019,7.75,5.1,4.0
2019-05-31,2665.33,0.002184604740705,5.2019,7.75,5.1,4.0
2019-06-03,2729.93,0.0242371488708714,6.2019,7.5,4.7,4.0
2019-06-04,2706.29,-0.0086595626994098,6.2019,7.5,4.7,4.0
2019-06-05,2701.84,-0.0016443174973856,6.2019,7.5,4.7,4.0
2019-06-06,2728.25,0.0097748201225831,6.2019,7.5,4.7,4.0
2019-06-07,2729.61,0.000498488041785,6.2019,7.5,4.7,4.0
2019-06-10,2742.59,0.0047552580771612,6.2019,7.5,4.7,4.0
2019-06-11,2751.75,0.0033399086265171,6.2019,7.5,4.7,4.0
2019-06-13,2758.36,0.0024021077496139,6.2019,7.5,4.7,4.0
2019-06-14,2739.28,-0.0069171536710218,6.2019,7.5,4.7,4.0
2019-06-17,2734.31,-0.0018143453754272,6.2019,7.5,4.7,4.0
2019-06-18,2761.69,0.0100134951779424,6.2019,7.5,4.7,4.0
2019-06-19,2759.12,-0.0009305896027432,6.2019,7.5,4.7,4.0
2019-06-20,2780.2,0.0076401171387978,6.2019,7.5,4.7,4.0
