TRADEDATE,close,ret
2019-01-03,2375.6,
2019-01-04,2406.5,0.013007240276140752
2019-01-08,2389.69,-0.006985248285892309
2019-01-09,2414.13,0.010227267971996357
2019-01-10,2434.15,0.008292842556117508
2019-01-11,2444.45,0.004231456565946923
2019-01-14,2440.15,-0.0017590869111659968
2019-01-15,2439.55,-0.00024588652336943184
2019-01-16,2434.6,-0.002029062736980336
2019-01-17,2447.64,0.005356115994413768
2019-01-18,2473.61,0.010610220457256903
2019-01-21,2468.25,-0.002166873516843859
2019-01-22,2468.73,0.00019446976602854882
2019-01-23,2491.49,0.009219315194452182
2019-01-24,2482.71,-0.003523995681299019
2019-01-25,2498.23,0.00625123353110113
2019-01-28,2476.81,-0.00857407044187286
2019-01-29,2498.35,0.008696670313831145
2019-01-30,2511.86,0.005407568995537071
2019-01-31,2521.1,0.0036785489637161106
2019-02-01,2521.7,0.00023799135298085972
2019-02-04,2523.52,0.0007217353372725999
2019-02-05,2547.27,0.009411457012427071
2019-02-06,2539.73,-0.0029600317202338466
2019-02-07,2509.89,-0.011749280435321974
2019-02-08,2502.82,-0.002816856515624022
2019-02-11,2510.22,0.0029566648820129604
2019-02-12,2533.32,0.009202380667830079
2019-02-13,2485.76,-0.018773783019910617
2019-02-14,2460.82,-0.01003314881565398
2019-02-15,2490.16,0.011922854983298148
2019-02-18,2472.41,-0.007128056028528285
2019-02-19,2458.55,-0.0056058663409385145
2019-02-20,2487.82,0.011905391389233522
2019-02-21,2470.23,-0.0070704472188503065
2019-02-22,2488.63,0.007448699108989931
2019-02-25,2494.63,0.0024109650691344076
2019-02-26,2494.02,-0.0002445252402160092
2019-02-27,2490.65,-0.0013512321472962663
2019-02-28,2485.27,-0.0021600786943167805
2019-03-01,2478.01,-0.002921211779806532
2019-03-04,2473.79,-0.0017029794068628146
2019-03-05,2466.23,-0.0030560395183099054
2019-03-06,2494.04,0.011276320537825013
2019-03-07,2476.64,-0.006976632291382678
2019-03-11,2465.94,-0.00432036953291548
2019-03-12,2468.25,0.0009367624516412043
2019-03-13,2470.61,0.0009561430163071982
2019-03-14,2457.79,-0.005189001906411805
2019-03-15,2476.73,0.007706109960574414
2019-03-18,2483.7,0.002814194522616331
2019-03-19,2493.28,0.003857148608930272
2019-03-20,2504.23,0.004391805172303087
2019-03-21,2507.81,0.0014295811486964016
2019-03-22,2492.7,-0.006025177345971189
2019-03-25,2497.59,0.001961728246479888
2019-03-26,2512.63,0.00602180502003935
2019-03-27,2487.48,-0.010009432347779068
2019-03-28,2492.4,0.00197790534999287
2019-03-29,2497.1,0.0018857326271866093
2019-04-01,2521.25,0.009671218613591881
2019-04-02,2527.77,0.002586018839861204
2019-04-03,2532.32,0.0018000055384785885
2019-04-04,2535.5,0.0012557654640803495
2019-04-05,2540.99,0.0021652534016958214
2019-04-08,2560.07,0.007508884332484644
2019-04-09,2570.28,0.0039881721984165175
2019-04-10,2578.58,0.003229220162783708
2019-04-11,2551.45,-0.010521294666056558
2019-04-12,2559.72,0.0032412941660624472
2019-04-15,2545.12,-0.00570374884753011
2019-04-16,2559.84,0.005783617275413544
2019-04-17,2568.26,0.0032892680792548923
2019-04-18,2560.8,-0.002904690335090665
2019-04-19,2563.9,0.0012105592002498167
2019-04-22,2584.74,0.008128242131128172
2019-04-23,2587.48,0.0010600679372008148
2019-04-24,2579.05,-0.0032579961970720106
2019-04-25,2560.94,-0.007021965452395307
2019-04-26,2563.72,0.0010855389036836804
2019-04-29,2569.83,0.0023832555817329126
2019-04-30,2559.32,-0.004089764692606024
2019-05-02,2575.22,0.00621258771861255
2019-05-03,2580.95,0.0022250526168638984
2019-05-06,2579.75,-0.0004649450783625886
2019-05-07,2565.1,-0.005678844849307141
2019-05-08,2544.43,-0.008058165373669657
2019-05-10,2514.87,-0.011617533199970165
2019-05-13,2508.87,-0.00238580920683773
2019-05-14,2562.33,0.021308397804589374
2019-05-15,2554.49,-0.003059715181104705
2019-05-16,2581.11,0.010420866787499872
2019-05-17,2577.48,-0.001406371677301621
2019-05-20,2571.65,-0.0022618992193925713
2019-05-21,2616.53,0.017451830536814983
2019-05-22,2638.71,0.008476875862306166
2019-05-23,2618.61,-0.0076173584819855256
2019-05-24,2619.24,0.00024058565422091505
2019-05-27,2632.95,0.00523434278645718
2019-05-28,2609.78,-0.008800015192084731
2019-05-29,2641.15,0.012020170282552423
2019-05-30,2659.52,0.006955303560948867
2019-05-31,2665.33,0.0021846047407050317
2019-06-03,2729.93,0.024237148870871472
2019-06-04,2706.29,-0.008659562699409817
2019-06-05,2701.84,-0.0016443174973856944
2019-06-06,2728.25,0.009774820122583128
2019-06-07,2729.61,0.0004984880417850945
2019-06-10,2742.59,0.004755258077161262
2019-06-11,2751.75,0.0033399086265171185
2019-06-13,2758.36,0.002402107749613913
2019-06-14,2739.28,-0.006917153671021858
2019-06-17,2734.31,-0.0018143453754272398
2019-06-18,2761.69,0.010013495177942477
